S,M,M,M,M,M,M,M,M,M,M,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
B,B,B,B,B,B,B,B,B,M,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
V,V,V,V,V,V,V,V,B,M,B,M,V,V,V,V,V,V,V,V,V,B,M,B,M,V,V,V,B,B,B,B
B,B,B,B,B,B,B,B,B,M,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
B,B,M,M,M,M,M,M,M,M,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
V,B,M,V,V,V,V,V,V,V,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
B,B,M,M,M,V,B,V,V,V,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
V,B,V,B,B,M,V,V,V,V,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
N,M,M,M,M,M,M,M,M,M,M,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
M,M,M,M,M,M,M,M,M,M,M,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
B,B,B,B,B,B,B,B,B,M,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
V,V,V,V,V,V,V,V,B,M,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
B,B,B,B,B,B,B,B,B,M,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
B,B,M,M,M,M,M,M,M,M,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
V,B,M,V,V,V,V,V,V,V,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
B,B,M,M,M,V,B,V,V,V,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
V,B,V,B,B,M,V,V,V,V,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
N,M,M,M,M,M,M,M,M,M,M,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
M,M,M,M,M,M,M,M,M,M,M,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
B,B,B,B,B,B,B,B,B,M,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
V,V,V,V,V,V,V,V,B,M,B,M,V,V,V,V,V,V,V,V,V,B,M,B,M,V,V,V,B,B,B,B
B,B,B,B,B,B,B,B,B,M,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
B,B,M,M,M,M,M,M,M,M,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
V,B,M,V,V,V,V,V,V,V,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
B,B,M,M,M,V,B,V,V,V,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
V,B,V,B,B,M,V,V,V,V,B,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
N,M,M,M,M,M,M,M,M,M,M,M,V,V,M,M,M,M,M,M,M,M,M,M,M,M,V,V,B,B,B,B
